7938
(6181,2975)
(3271,888)
(6002,4477)
(5636,3167)
(398,588)
(5916,4133)
(6236,2812)
(1680,6604)
(286,7022)
(666,4232)
(4968,7026)
(1228,3284)
(2673,6914)
(2896,1792)
(4622,670)
(3346,35)
(1727,4784)
(112,2012)
(6122,5025)
(429,982)
(3104,3692)
(361,1101)
(2989,5350)
(1239,1616)
(3296,3550)
(6706,4902)
(2497,3895)
(6177,1827)
(5105,5585)
(577,6111)
(3043,2370)
(6078,4101)
(1155,428)
(2422,2755)
(3798,5255)
(5882,5798)
(1423,5800)
(1713,6215)
(2975,3377)
(2933,1781)
(824,4566)
(3448,1174)
(4583,3293)
(3227,141)
(2657,6777)
(702,2591)
(1736,5933)
(1706,909)
(1931,1170)
(884,4744)
(2744,7095)
(5427,786)
(3747,3845)
(155,2054)
(2854,781)
(369,1670)
(725,5414)
(681,7102)
(1799,5285)
(4915,6804)
(430,7020)
(3365,928)
(4637,254)
(3311,2168)
(804,4385)
(5133,845)
(2572,5208)
(2982,4914)
(2280,377)
(6002,4717)
(5221,1556)
(908,5622)
(4664,966)
(4504,4287)
(4676,5270)
(1005,3650)
(3537,3388)
(4100,2709)
(5695,534)
(1058,5637)
(5301,755)
(863,4182)
(2766,2557)
(159,875)
(1054,5188)
(7016,5846)
(6559,2762)
(6289,3073)
(1231,500)
(2273,2789)
(1111,6476)
(5891,4218)
(2993,1146)
(6302,2107)
(116,4252)
(2879,940)
(5285,2700)
(261,5886)
(2760,5204)
(3530,463)
(2439,365)
(6807,2832)
(2925,6150)
(3584,4399)
(263,3959)
(2784,505)
(3977,2047)
(3205,3982)
(3542,4618)
(5236,984)
(629,6881)
(4550,2694)
(1092,4675)
(5918,6562)
(3135,5626)
(4484,4448)
(5499,6189)
(1554,315)
(3961,6387)
(1615,126)
(3057,5365)
(2398,6814)
(4696,5298)
(861,6864)
(4823,1488)
(1057,3194)
(4227,3715)
(1081,6697)
(3283,5905)
(1945,343)
(3745,1248)
(3876,2539)
(3890,3911)
(3613,4595)
(3097,560)
(6616,6258)
(135,1226)
(4928,5980)
(5634,3641)
(472,4379)
(3155,4031)
(581,1658)
(130,5850)
(5129,5773)
(525,2747)
(4973,4536)
(3058,206)
(2319,5229)
(2712,2881)
(784,2533)
(5463,1471)
(6015,2079)
(5382,886)
(5159,6643)
(3906,5729)
(1848,4437)
(4078,5373)
(2850,4557)
(3942,1494)
(3148,4399)
(21,2318)
(1273,1168)
(418,1407)
(4977,3834)
(1304,490)
(5275,1948)
(2404,4947)
(2441,6987)
(2253,4442)
(6839,1297)
(2492,5071)
(4,3096)
(6953,4546)
(94,5339)
(2055,1730)
(5082,4955)
(4656,1071)
(6217,2069)
(1494,5461)
(1543,3871)
(6690,4884)
