26098
(320,4573.78,-829.181)
(321,3082.1,1164.99)
(322,864.874,655.161)
(323,802.939,573.988)
(324,-567.539,-1723.52)
(325,2498.99,1102.5)
(326,1508.8,-2210.44)
(327,3445.37,779.032)
(328,1302.65,966.173)
(329,-983.853,-363.941)
(330,2338.21,1441.53)
(331,-300.56,1487.45)
(332,1320.55,-748.564)
(333,5006.89,-1495.35)
(334,2836.8,471.911)
(335,16.6792,138.104)
(336,834.629,618.689)
(337,5572.87,985.187)
(338,1791.35,1323.44)
(339,4400.87,-739.224)
(340,-1664.7,-1160.43)
(341,1701.73,1300.09)
(342,2631.76,426.099)
(343,793.821,647.154)
(344,2888.84,-694.968)
(345,1780.34,995.195)
(346,-226.504,-718.542)
(347,1792.8,898.344)
(348,4625.71,554.418)
(349,258.083,623.915)
(350,2416.71,792.709)
(351,3075.21,1174)
(352,6670.69,715.428)
(353,2343.99,-467.463)
(354,1388.82,1080.93)
(355,378.174,828.18)
(356,2342.99,1456.54)
(357,4670.74,-83.6186)
(358,372.281,-371.28)
(359,5074.6,1203.91)
(360,1146.64,-2159.41)
(361,1716.63,280.434)
(362,1109.61,474.135)
(363,2659.78,671.84)
(364,2345.88,-1990.83)
(365,294.444,-830.181)
(366,273.54,-177.578)
(367,2874.61,918.47)
(368,2880.73,927.922)
(369,1034.89,-211.048)
(370,1357.58,1110.39)
(371,5116.97,738.446)
(372,-893.451,-1395.39)
(373,3066.87,1195.46)
(374,1173.11,1103.05)
(375,6787,-178.579)
(376,-1354.58,-450.117)
(377,-92.0694,-1086.37)
(378,6460.43,786.926)
(379,4968.19,-513.609)
(380,4449.35,712.759)
(381,-1471.89,1298.09)
(382,-1708.84,1332.23)
(383,2256.26,-2259.59)
(384,4457.8,723.879)
(385,377.618,-242.85)
(386,5055.14,-1387.49)
(387,6434.29,-1249.72)
(388,4437.9,-149.001)
(389,1915.11,933.815)
(390,6154.97,-2297.51)
(391,3476.95,919.137)
(392,2829.47,-1848.73)
(393,2153.18,1246.16)
(394,5646.59,-534.959)
(395,3452.6,829.292)
(396,2429.39,773.917)
(397,2661.23,-1071.14)
(398,1486.01,1180.45)
(399,3832.22,-601.009)
(400,2735.84,1184.11)
(401,1917.67,882.888)
(402,-228.95,1391.16)
(403,3151.82,479.917)
(404,-1117.29,-534.292)
(405,-666.947,-1240.71)
(406,3714.24,65.3826)
(407,475.247,-911.91)
(408,934.26,-1270.85)
(409,1301.76,710.758)
(410,6248.38,-599.007)
(411,-1243.38,-1865.29)
(412,2559.82,1110.73)
(413,973.623,643.819)
(414,1477.34,1104.28)
(415,-925.587,944.379)
(416,2065.78,-411.532)
(417,4031.37,-1979.49)
(418,2645.44,1081.37)
(419,5111.41,-1343.35)
(420,3161.72,813.391)
(421,2650.11,1164.43)
(422,1444.64,1070.92)
(423,-449.005,963.282)
(424,2796.77,549.748)
(425,-601.898,-1621.78)
(426,6003.53,-1610.99)
(427,5434.54,-1536.6)
(428,2425.94,827.735)
(429,1882.97,1438.64)
(430,1915.78,-335.142)
(431,3413.35,-2198.43)
(432,2930.88,1001.87)
(433,3031.62,950.161)
(434,2647.11,-1439.97)
(435,-1528.04,-419.316)
(436,1297.98,1098.83)
(437,1357.02,1062.8)
(438,-1847.84,-628.474)
(439,1038.34,648.934)
(440,5288.1,-842.19)
(441,1011.21,-1052.68)
(442,-159.454,1551.95)
(443,5306.89,-2298.07)
(444,4693.32,935.038)
(445,6469.21,-712.871)
(446,-1258.73,400.191)
(447,1854.18,1495.24)
(448,2326.09,1264.62)
